index,emoji,category,description_eng_Latn,description_deu_Latn,description_spa_Latn,description_fra_Latn,description_jpn_Jpan,description_kor_Hang,description_por_Latn,description_ita_Latn,description_fas_Arab,description_ind_Latn,description_zho_Hans,description_rus_Cyrl,description_tur_Latn,description_ary_Latn,description_arb_Arab,is_multi_char
2865,💅🏽,Uncategorized,nail polish medium skin tone,nagellack mittlere hautfarbe,pintarse las uñas tono de piel medio,vernis à ongles peau légèrement mate,マニキュアを塗る手 中間の肌色,매니큐어 갈색 피부,esmalte de unha pele morena,smalto per unghie carnagione olivastra,لاک زدن پوست طلایی,poles kuku warna kulit sedang,涂指甲油 中等肤色,маникюр средний тон кожи,oje sürme orta cilt tonu,طلاء أظافر بشرة بلون معتدل,طلاء أظافر بشرة بلون معتدل,TRUE
2866,📛,Uncategorized,name badge,namensschild,etiqueta identificativa,badge nominatif,名札,이름표,crachá,tesserino per nome,برچسب نام,lencana nama,姓名牌,бейдж,ad rozeti,ملصق اسم,ملصق اسم,FALSE
2868,🏞,Uncategorized,national park,nationalpark,parque nacional,parc national,国立公園,국립공원,parque nacional,parco nazionale,پارک ملی,taman nasional,国家公园,национальный парк,milli park,حديقة وطنية,حديقة وطنية,FALSE
2871,👔,Uncategorized,necktie,hemd mit krawatte,corbata,cravate,ネクタイ,넥타이,gravata,cravatta,کراوات,dasi,领带,галстук,kravat,رابطة عنق,رابطة عنق,FALSE
2873,🪺,Uncategorized,nest with eggs,nest mit eiern,nido con huevos,nid avec œufs,鳥の卵と巣,알이 들어 있는 둥지,ninho com ovos,nido con uova,آشیانه با تخم,sarang dengan telur,有蛋的巢,гнездо с яйцами,yumurta bulunan yuva,عش به بيض,عش به بيض,FALSE
2876,🌑,Uncategorized,new moon,neumond,luna nueva,nouvelle lune,新月,삭,lua nova,luna nuova,ماه نو,bulan baru,朔月,новолуние,yeni ay,محاق,محاق,FALSE
2877,🌚,Uncategorized,new moon face,neumond mit gesicht,luna nueva con cara,nouvelle lune avec visage,顔のある新月,얼굴이 있는 삭,rosto da lua nova,faccina luna nuova,صورت ماه نو,wajah bulan baru,微笑的朔月,новая луна с лицом,yeni ay yüzü,وجه محاق,وجه محاق,FALSE
2879,⏭️,Uncategorized,next track button,nächster titel,pista siguiente,bouton piste suivante,次の曲ボタン,다음 트랙 버튼,botão de próxima faixa,traccia successiva,دکمه آهنگ بعدی,tombol lagu berikutnya,下一个音轨按钮,следующии трек,sonraki parça düğmesi,زر التالي,زر التالي,TRUE
2880,⏭,Uncategorized,next track button,nächster titel,pista siguiente,bouton piste suivante,次の曲ボタン,다음 트랙 버튼,botão de próxima faixa,traccia successiva,دکمهٔ آهنگ بعدی,tombol lagu berikutnya,下一个音轨按钮,следующий трек,sonraki parça düğmesi,زر التالي,زر التالي,FALSE
2885,🥷🏿,Uncategorized,ninja dark skin tone,ninja dunkle hautfarbe,ninja tono de piel oscuro,ninja peau foncée,忍者 濃い肌色,닌자 검은색 피부,ninja pele escura,ninja carnagione scura,نینجا پوست آبنوسی,ninja warna kulit gelap,忍者 较深肤色,ниндзя очень темный тон кожи,ninja koyu cilt tonu,نينجا بشرة بلون غامق,نينجا بشرة بلون غامق,TRUE
2886,🥷🏻,Uncategorized,ninja light skin tone,ninja helle hautfarbe,ninja tono de piel claro,ninja peau claire,忍者 薄い肌色,닌자 하얀 피부,ninja pele clara,ninja carnagione chiara,نینجا پوست سفید,ninja warna kulit cerah,忍者 较浅肤色,ниндзя очень светлый тон кожи,ninja açık cilt tonu,نينجا بشرة بلون فاتح,نينجا بشرة بلون فاتح,TRUE
2887,🥷🏾,Uncategorized,ninja medium-dark skin tone,ninja mitteldunkle hautfarbe,ninja tono de piel oscuro medio,ninja peau mate,忍者 やや濃い肌色,닌자 진한 갈색 피부,ninja pele morena escura,ninja carnagione abbastanza scura,نینجا پوست گندمی,ninja warna kulit gelap-sedang,忍者 中等深肤色,ниндзя темный тон кожи,ninja orta koyu cilt tonu,نينجا بشرة بلون معتدل مائل للغامق,نينجا بشرة بلون معتدل مائل للغامق,TRUE
2888,🥷🏼,Uncategorized,ninja medium-light skin tone,ninja mittelhelle hautfarbe,ninja tono de piel claro medio,ninja peau moyennement claire,忍者 やや薄い肌色,닌자 연한 갈색 피부,ninja pele morena clara,ninja carnagione abbastanza chiara,نینجا پوست روشن,ninja warna kulit cerah-sedang,忍者 中等浅肤色,ниндзя светлый тон кожи,ninja orta açık cilt tonu,نينجا بشرة بلون فاتح ومعتدل,نينجا بشرة بلون فاتح ومعتدل,TRUE
2889,🥷🏽,Uncategorized,ninja medium skin tone,ninja mittlere hautfarbe,ninja tono de piel medio,ninja peau légèrement mate,忍者 中間の肌色,닌자 갈색 피부,ninja pele morena,ninja carnagione olivastra,نینجا پوست طلایی,ninja warna kulit sedang,忍者 中等肤色,ниндзя средний тон кожи,ninja orta cilt tonu,نينجا بشرة بلون معتدل,نينجا بشرة بلون معتدل,TRUE
2890,🚳,Uncategorized,no bicycles,fahrräder verboten,bicicletas prohibidas,vélos interdits,自転車禁止,자전거 금지,proibido andar de bicicleta,segnale di divieto di transito delle biciclette,دوچرخه ممنوع,dilarang bersepeda,禁止自行车,перечеркнутый велосипед,bisiklet yasak,ممنوع ركوب الدراجات,ممنوع ركوب الدراجات,FALSE
2891,⛔,Uncategorized,no entry,zutritt verboten,dirección prohibida,sens interdit,車両進入禁止,진입 금지,entrada proibida,segnale di divieto di accesso,ورود ممنوع,dilarang masuk,禁止通行,въезд запрещен,girilmez,ممنوع الدخول,ممنوع الدخول,FALSE
2892,🚯,Uncategorized,no littering,abfall verboten,prohibido tirar basura,dépôt d’ordures interdit,ポイ捨て禁止,쓰레기 투기 금지,proibido jogar lixo no chão,simbolo del divieto di gettare rifiuti,ریختن زباله ممنوع,dilarang membuang sampah sembarangan,禁止乱扔垃圾,не мусорьте,çöp atılmaz,ممنوع وضع النفايات,ممنوع وضع النفايات,FALSE
2893,📵,Uncategorized,no mobile phones,mobiltelefone verboten,prohibido el uso de móviles,téléphones portables interdits,携帯電話禁止,휴대전화 사용금지,proibido o uso de telefone celular,simbolo che vieta l’uso dei cellulari,تلفن همراه ممنوع,dilarang menggunakan ponsel,禁止使用手机,мобильные телефоны запрещены,cep telefonu yasak,ممنوع استخدام الهاتف الجوال,ممنوع استخدام الهاتف الجوال,FALSE
2894,🔞,Uncategorized,no one under eighteen,minderjährige verboten,prohibido para menos de 18 años,18 ans et plus,18歳未満禁止,성인용,proibido para menores de 18 anos,simbolo di divieto ai minorenni,زیر ۱۸ سال ممنوع,di bawah 18 tahun dilarang,18禁,для людей старше восемнадцати лет,18 yaş altı yasak,ممنوع لأقل من 18 عاما,ممنوع لأقل من 18 عاما,FALSE
2895,🚷,Uncategorized,no pedestrians,fußgänger verboten,prohibido el paso de peatones,interdit aux piétons,歩行者立入禁止,보행자 금지,proibida a passagem de pedestres,simbolo del divieto di transito pedoni,عابر پیاده ممنوع,pejalan kaki dilarang masuk,禁止行人通行,переход запрещен,yayalara yasak,ممنوع سير المشاة,ممنوع سير المشاة,FALSE
2896,🚭,Uncategorized,no smoking,rauchverbot,prohibido fumar,interdiction de fumer,禁煙,금연 신호,proibido fumar,segnale di vietato fumare,سیگار کشیدن ممنوع,dilarang merokok,禁止吸烟,курение запрещено,sigara içilmez,ممنوع التدخين,ممنوع التدخين,FALSE
2897,🚱,Uncategorized,non-potable water,kein trinkwasser,agua no potable,eau non potable,飲用不可,마실 수 없는 물,água não potável,simbolo di acqua non potabile,آب غیرآشامیدنی,air tidak dapat diminum,非饮用水,непитьевая вода,içilmeyen su,مياه غير صالحة للشرب,مياه غير صالحة للشرب,FALSE
2899,👃🏿,Uncategorized,nose dark skin tone,nase dunkle hautfarbe,nariz tono de piel oscuro,nez peau foncée,鼻 濃い肌色,코 검은색 피부,nariz pele escura,naso carnagione scura,بینی پوست آبنوسی,hidung warna kulit gelap,鼻子 较深肤色,нос очень темный тон кожи,burun koyu cilt tonu,أنف بشرة بلون غامق,أنف بشرة بلون غامق,TRUE
2900,👃🏻,Uncategorized,nose light skin tone,nase helle hautfarbe,nariz tono de piel claro,nez peau claire,鼻 薄い肌色,코 하얀 피부,nariz pele clara,naso carnagione chiara,بینی پوست سفید,hidung warna kulit cerah,鼻子 较浅肤色,нос очень светлый тон кожи,burun açık cilt tonu,أنف بشرة بلون فاتح,أنف بشرة بلون فاتح,TRUE
2901,👃🏾,Uncategorized,nose medium-dark skin tone,nase mitteldunkle hautfarbe,nariz tono de piel oscuro medio,nez peau mate,鼻 やや濃い肌色,코 진한 갈색 피부,nariz pele morena escura,naso carnagione abbastanza scura,بینی پوست گندمی,hidung warna kulit gelap-sedang,鼻子 中等深肤色,нос темный тон кожи,burun orta koyu cilt tonu,أنف بشرة بلون معتدل مائل للغامق,أنف بشرة بلون معتدل مائل للغامق,TRUE
2902,👃🏼,Uncategorized,nose medium-light skin tone,nase mittelhelle hautfarbe,nariz tono de piel claro medio,nez peau moyennement claire,鼻 やや薄い肌色,코 연한 갈색 피부,nariz pele morena clara,naso carnagione abbastanza chiara,بینی پوست روشن,hidung warna kulit cerah-sedang,鼻子 中等浅肤色,нос светлый тон кожи,burun orta açık cilt tonu,أنف بشرة بلون فاتح ومعتدل,أنف بشرة بلون فاتح ومعتدل,TRUE
2903,👃🏽,Uncategorized,nose medium skin tone,nase mittlere hautfarbe,nariz tono de piel medio,nez peau légèrement mate,鼻 中間の肌色,코 갈색 피부,nariz pele morena,naso carnagione olivastra,بینی پوست طلایی,hidung warna kulit sedang,鼻子 中等肤色,нос средний тон кожи,burun orta cilt tonu,أنف بشرة بلون معتدل,أنف بشرة بلون معتدل,TRUE
2910,🧑‍💼,Uncategorized,office worker,büroangestellte(r),oficinista,employé de bureau (tous genres),会社員,회사원,trabalhador de escritório,persona che fa un lavoro d’ufficio,کارمند,pekerja kantoran,白领,офисный работник,ofis çalışanı,موظف مكتب,موظف مكتب,TRUE
2911,🧑🏿‍💼,Uncategorized,office worker dark skin tone,büroangestellte(r) dunkle hautfarbe,oficinista tono de piel oscuro,employé de bureau (tous genres) peau foncée,会社員 濃い肌色,회사원 검은색 피부,trabalhador de escritório pele escura,persona che fa un lavoro d’ufficio carnagione scura,کارمند پوست آبنوسی,pekerja kantoran warna kulit gelap,白领 较深肤色,офисный работник очень темный тон кожи,ofis çalışanı koyu cilt tonu,موظف مكتب بشرة بلون غامق,موظف مكتب بشرة بلون غامق,TRUE
2912,🧑🏻‍💼,Uncategorized,office worker light skin tone,büroangestellte(r) helle hautfarbe,oficinista tono de piel claro,employé de bureau (tous genres) peau claire,会社員 薄い肌色,회사원 하얀 피부,trabalhador de escritório pele clara,persona che fa un lavoro d’ufficio carnagione chiara,کارمند پوست سفید,pekerja kantoran warna kulit cerah,白领 较浅肤色,офисный работник очень светлый тон кожи,ofis çalışanı açık cilt tonu,موظف مكتب بشرة بلون فاتح,موظف مكتب بشرة بلون فاتح,TRUE
2913,🧑🏾‍💼,Uncategorized,office worker medium-dark skin tone,büroangestellte(r) mitteldunkle hautfarbe,oficinista tono de piel oscuro medio,employé de bureau (tous genres) peau mate,会社員 やや濃い肌色,회사원 진한 갈색 피부,trabalhador de escritório pele morena escura,persona che fa un lavoro d’ufficio carnagione abbastanza scura,کارمند پوست گندمی,pekerja kantoran warna kulit gelap-sedang,白领 中等深肤色,офисный работник темный тон кожи,ofis çalışanı orta koyu cilt tonu,موظف مكتب بشرة بلون معتدل مائل للغامق,موظف مكتب بشرة بلون معتدل مائل للغامق,TRUE
2914,🧑🏼‍💼,Uncategorized,office worker medium-light skin tone,büroangestellte(r) mittelhelle hautfarbe,oficinista tono de piel claro medio,employé de bureau (tous genres) peau moyennement claire,会社員 やや薄い肌色,회사원 연한 갈색 피부,trabalhador de escritório pele morena clara,persona che fa un lavoro d’ufficio carnagione abbastanza chiara,کارمند پوست روشن,pekerja kantoran warna kulit cerah-sedang,白领 中等浅肤色,офисный работник светлый тон кожи,ofis çalışanı orta açık cilt tonu,موظف مكتب بشرة بلون فاتح ومعتدل,موظف مكتب بشرة بلون فاتح ومعتدل,TRUE
2915,🧑🏽‍💼,Uncategorized,office worker medium skin tone,büroangestellte(r) mittlere hautfarbe,oficinista tono de piel medio,employé de bureau (tous genres) peau légèrement mate,会社員 中間の肌色,회사원 갈색 피부,trabalhador de escritório pele morena,persona che fa un lavoro d’ufficio carnagione olivastra,کارمند پوست طلایی,pekerja kantoran warna kulit sedang,白领 中等肤色,офисный работник средний тон кожи,ofis çalışanı orta cilt tonu,موظف مكتب بشرة بلون معتدل,موظف مكتب بشرة بلون معتدل,TRUE
2918,🛢,Uncategorized,oil drum,ölfass,barril de petróleo,baril de pétrole,ドラム缶,기름통,barril de óleo,barile di petrolio,بشکه نفت,drum minyak,石油桶,бочка,petrol varili,برميل نفط,برميل نفط,FALSE
2920,🗝,Uncategorized,old key,alter schlüssel,llave antigua,clé ancienne,古い鍵,오래된 열쇠,chave antiga,chiave antica,کلید قدیمی,kunci antik,老式钥匙,старинный ключ,eski anahtar,مفتاح قديم,مفتاح قديم,FALSE
2921,👴,Uncategorized,old man,älterer mann,anciano,homme âgé,おじいさん,할아버지,homem idoso,uomo anziano,پیرمرد,pria tua,老爷爷,пожилой мужчина,yaşlı erkek,رجل عجوز,رجل عجوز,FALSE
2922,👴🏿,Uncategorized,old man dark skin tone,älterer mann dunkle hautfarbe,anciano tono de piel oscuro,homme âgé peau foncée,おじいさん 濃い肌色,할아버지 검은색 피부,homem idoso pele escura,uomo anziano carnagione scura,پیرمرد پوست آبنوسی,pria tua warna kulit gelap,老爷爷 较深肤色,пожилой мужчина очень темный тон кожи,yaşlı erkek koyu cilt tonu,رجل عجوز بشرة بلون غامق,رجل عجوز بشرة بلون غامق,TRUE
2923,👴🏻,Uncategorized,old man light skin tone,älterer mann helle hautfarbe,anciano tono de piel claro,homme âgé peau claire,おじいさん 薄い肌色,할아버지 하얀 피부,homem idoso pele clara,uomo anziano carnagione chiara,پیرمرد پوست سفید,pria tua warna kulit cerah,老爷爷 较浅肤色,пожилой мужчина очень светлый тон кожи,yaşlı erkek açık cilt tonu,رجل عجوز بشرة بلون فاتح,رجل عجوز بشرة بلون فاتح,TRUE
2924,👴🏾,Uncategorized,old man medium-dark skin tone,älterer mann mitteldunkle hautfarbe,anciano tono de piel oscuro medio,homme âgé peau mate,おじいさん やや濃い肌色,할아버지 진한 갈색 피부,homem idoso pele morena escura,uomo anziano carnagione abbastanza scura,پیرمرد پوست گندمی,pria tua warna kulit gelap-sedang,老爷爷 中等深肤色,пожилой мужчина темный тон кожи,yaşlı erkek orta koyu cilt tonu,رجل عجوز بشرة بلون معتدل مائل للغامق,رجل عجوز بشرة بلون معتدل مائل للغامق,TRUE
2925,👴🏼,Uncategorized,old man medium-light skin tone,älterer mann mittelhelle hautfarbe,anciano tono de piel claro medio,homme âgé peau moyennement claire,おじいさん やや薄い肌色,할아버지 연한 갈색 피부,homem idoso pele morena clara,uomo anziano carnagione abbastanza chiara,پیرمرد پوست روشن,pria tua warna kulit cerah-sedang,老爷爷 中等浅肤色,пожилой мужчина светлый тон кожи,yaşlı erkek orta açık cilt tonu,رجل عجوز بشرة بلون فاتح ومعتدل,رجل عجوز بشرة بلون فاتح ومعتدل,TRUE
2926,👴🏽,Uncategorized,old man medium skin tone,älterer mann mittlere hautfarbe,anciano tono de piel medio,homme âgé peau légèrement mate,おじいさん 中間の肌色,할아버지 갈색 피부,homem idoso pele morena,uomo anziano carnagione olivastra,پیرمرد پوست طلایی,pria tua warna kulit sedang,老爷爷 中等肤色,пожилой мужчина средний тон кожи,yaşlı erkek orta cilt tonu,رجل عجوز بشرة بلون معتدل,رجل عجوز بشرة بلون معتدل,TRUE
2927,👵,Uncategorized,old woman,ältere frau,anciana,femme âgée,おばあさん,할머니,idosa,donna anziana,پیرزن,wanita tua,老奶奶,пожилая женщина,yaşlı kadın,سيدة عجوز,سيدة عجوز,FALSE
2928,👵🏿,Uncategorized,old woman dark skin tone,ältere frau dunkle hautfarbe,anciana tono de piel oscuro,femme âgée peau foncée,おばあさん 濃い肌色,할머니 검은색 피부,idosa pele escura,donna anziana carnagione scura,پیرزن پوست آبنوسی,wanita tua warna kulit gelap,老奶奶 较深肤色,пожилая женщина очень темный тон кожи,yaşlı kadın koyu cilt tonu,سيدة عجوز بشرة بلون غامق,سيدة عجوز بشرة بلون غامق,TRUE
2929,👵🏻,Uncategorized,old woman light skin tone,ältere frau helle hautfarbe,anciana tono de piel claro,femme âgée peau claire,おばあさん 薄い肌色,할머니 하얀 피부,idosa pele clara,donna anziana carnagione chiara,پیرزن پوست سفید,wanita tua warna kulit cerah,老奶奶 较浅肤色,пожилая женщина очень светлый тон кожи,yaşlı kadın açık cilt tonu,سيدة عجوز بشرة بلون فاتح,سيدة عجوز بشرة بلون فاتح,TRUE
2930,👵🏾,Uncategorized,old woman medium-dark skin tone,ältere frau mitteldunkle hautfarbe,anciana tono de piel oscuro medio,femme âgée peau mate,おばあさん やや濃い肌色,할머니 진한 갈색 피부,idosa pele morena escura,donna anziana carnagione abbastanza scura,پیرزن پوست گندمی,wanita tua warna kulit gelap-sedang,老奶奶 中等深肤色,пожилая женщина темный тон кожи,yaşlı kadın orta koyu cilt tonu,سيدة عجوز بشرة بلون معتدل مائل للغامق,سيدة عجوز بشرة بلون معتدل مائل للغامق,TRUE
2931,👵🏼,Uncategorized,old woman medium-light skin tone,ältere frau mittelhelle hautfarbe,anciana tono de piel claro medio,femme âgée peau moyennement claire,おばあさん やや薄い肌色,할머니 연한 갈색 피부,idosa pele morena clara,donna anziana carnagione abbastanza chiara,پیرزن پوست روشن,wanita tua warna kulit cerah-sedang,老奶奶 中等浅肤色,пожилая женщина светлый тон кожи,yaşlı kadın orta açık cilt tonu,سيدة عجوز بشرة بلون فاتح ومعتدل,سيدة عجوز بشرة بلون فاتح ومعتدل,TRUE
2932,👵🏽,Uncategorized,old woman medium skin tone,ältere frau mittlere hautfarbe,anciana tono de piel medio,femme âgée peau légèrement mate,おばあさん 中間の肌色,할머니 갈색 피부,idosa pele morena,donna anziana carnagione olivastra,پیرزن پوست طلایی,wanita tua warna kulit sedang,老奶奶 中等肤色,пожилая женщина средний тон кожи,yaşlı kadın orta cilt tonu,سيدة عجوز بشرة بلون معتدل,سيدة عجوز بشرة بلون معتدل,TRUE
2933,🧓,Uncategorized,older person,ältere person,persona mayor,personne âgée,お年寄り,노인,idoso,persona anziana,میان سال,lanjut usia,老年人,пожилой человек,yaşlı yetişkin,بالغ أكبر في السن,بالغ أكبر في السن,FALSE
2934,🧓🏿,Uncategorized,older person dark skin tone,ältere person dunkle hautfarbe,persona mayor tono de piel oscuro,personne âgée peau foncée,お年寄り 濃い肌色,노인 검은색 피부,idoso pele escura,persona anziana carnagione scura,میان سال پوست آبنوسی,lanjut usia warna kulit gelap,老年人 较深肤色,пожилой человек очень темный тон кожи,yaşlı yetişkin koyu cilt tonu,بالغ أكبر في السن بشرة بلون غامق,بالغ أكبر في السن بشرة بلون غامق,TRUE
2935,🧓🏻,Uncategorized,older person light skin tone,ältere person helle hautfarbe,persona mayor tono de piel claro,personne âgée peau claire,お年寄り 薄い肌色,노인 하얀 피부,idoso pele clara,persona anziana carnagione chiara,میان سال پوست سفید,lanjut usia warna kulit cerah,老年人 较浅肤色,пожилой человек очень светлый тон кожи,yaşlı yetişkin açık cilt tonu,بالغ أكبر في السن بشرة بلون فاتح,بالغ أكبر في السن بشرة بلون فاتح,TRUE
2936,🧓🏾,Uncategorized,older person medium-dark skin tone,ältere person mitteldunkle hautfarbe,persona mayor tono de piel oscuro medio,personne âgée peau mate,お年寄り やや濃い肌色,노인 진한 갈색 피부,idoso pele morena escura,persona anziana carnagione abbastanza scura,میان سال پوست گندمی,lanjut usia warna kulit gelap-sedang,老年人 中等深肤色,пожилой человек темный тон кожи,yaşlı yetişkin orta koyu cilt tonu,بالغ أكبر في السن بشرة بلون معتدل مائل للغامق,بالغ أكبر في السن بشرة بلون معتدل مائل للغامق,TRUE
2937,🧓🏼,Uncategorized,older person medium-light skin tone,ältere person mittelhelle hautfarbe,persona mayor tono de piel claro medio,personne âgée peau moyennement claire,お年寄り やや薄い肌色,노인 연한 갈색 피부,idoso pele morena clara,persona anziana carnagione abbastanza chiara,میان سال پوست روشن,lanjut usia warna kulit cerah-sedang,老年人 中等浅肤色,пожилой человек светлый тон кожи,yaşlı yetişkin orta açık cilt tonu,بالغ أكبر في السن بشرة بلون فاتح ومعتدل,بالغ أكبر في السن بشرة بلون فاتح ومعتدل,TRUE
2938,🧓🏽,Uncategorized,older person medium skin tone,ältere person mittlere hautfarbe,persona mayor tono de piel medio,personne âgée peau légèrement mate,お年寄り 中間の肌色,노인 갈색 피부,idoso pele morena,persona anziana carnagione olivastra,میان سال پوست طلایی,lanjut usia warna kulit sedang,老年人 中等肤色,пожилой человек средний тон кожи,yaşlı yetişkin orta cilt tonu,بالغ أكبر في السن بشرة بلون معتدل,بالغ أكبر في السن بشرة بلون معتدل,TRUE
2939,🫒,Uncategorized,olive,olive,aceituna,olive,オリーブ,올리브,azeitona,oliva,زیتون,zaitun,橄榄,оливка,zeytin,زيتون,زيتون,FALSE
2940,🕉️,Uncategorized,om,om,om,om,オーム,옴,om,om,ام,om,奥姆,ом,om,دين هندوسي,دين هندوسي,TRUE
2941,🕉,Uncategorized,om,om,om,om,オーム,옴,om,om,اُم,om,奥姆,ом,om,دين هندوسي,دين هندوسي,FALSE
2945,👊🏿,Uncategorized,oncoming fist dark skin tone,geballte faust dunkle hautfarbe,puño cerrado tono de piel oscuro,poing de face peau foncée,グー 濃い肌色,주먹 전면 검은색 피부,soco pele escura,pugno chiuso carnagione scura,مشت گره کرده پوست آبنوسی,tangan terkepal ke depan warna kulit gelap,出拳 较深肤色,кулак очень темный тон кожи,yaklaşan yumruk koyu cilt tonu,قبضة يد بشرة بلون غامق,قبضة يد بشرة بلون غامق,TRUE
2946,👊🏻,Uncategorized,oncoming fist light skin tone,geballte faust helle hautfarbe,puño cerrado tono de piel claro,poing de face peau claire,グー 薄い肌色,주먹 전면 하얀 피부,soco pele clara,pugno chiuso carnagione chiara,مشت گره کرده پوست سفید,tangan terkepal ke depan warna kulit cerah,出拳 较浅肤色,кулак очень светлый тон кожи,yaklaşan yumruk açık cilt tonu,قبضة يد بشرة بلون فاتح,قبضة يد بشرة بلون فاتح,TRUE
2947,👊🏾,Uncategorized,oncoming fist medium-dark skin tone,geballte faust mitteldunkle hautfarbe,puño cerrado tono de piel oscuro medio,poing de face peau mate,グー やや濃い肌色,주먹 전면 진한 갈색 피부,soco pele morena escura,pugno chiuso carnagione abbastanza scura,مشت گره کرده پوست گندمی,tangan terkepal ke depan warna kulit gelap-sedang,出拳 中等深肤色,кулак темный тон кожи,yaklaşan yumruk orta koyu cilt tonu,قبضة يد بشرة بلون معتدل مائل للغامق,قبضة يد بشرة بلون معتدل مائل للغامق,TRUE
2948,👊🏼,Uncategorized,oncoming fist medium-light skin tone,geballte faust mittelhelle hautfarbe,puño cerrado tono de piel claro medio,poing de face peau moyennement claire,グー やや薄い肌色,주먹 전면 연한 갈색 피부,soco pele morena clara,pugno chiuso carnagione abbastanza chiara,مشت گره کرده پوست روشن,tangan terkepal ke depan warna kulit cerah-sedang,出拳 中等浅肤色,кулак светлый тон кожи,yaklaşan yumruk orta açık cilt tonu,قبضة يد بشرة بلون فاتح ومعتدل,قبضة يد بشرة بلون فاتح ومعتدل,TRUE
2949,👊🏽,Uncategorized,oncoming fist medium skin tone,geballte faust mittlere hautfarbe,puño cerrado tono de piel medio,poing de face peau légèrement mate,グー 中間の肌色,주먹 전면 갈색 피부,soco pele morena,pugno chiuso carnagione olivastra,مشت گره کرده پوست طلایی,tangan terkepal ke depan warna kulit sedang,出拳 中等肤色,кулак средний тон кожи,yaklaşan yumruk orta cilt tonu,قبضة يد بشرة بلون معتدل,قبضة يد بشرة بلون معتدل,TRUE
2952,🩱,Uncategorized,one-piece swimsuit,einteiliger badeanzug,traje de baño de una pieza,maillot de bain une pièce,ワンピースの水着,원피스 수영복,maiô,costume da bagno intero,مایو یک تکه,pakaian renang one-piece,连体泳衣,цельный купальник,tek parça mayo,مايوه من قطعة واحدة,مايوه من قطعة واحدة,FALSE
2959,👐🏿,Uncategorized,open hands dark skin tone,offene hände dunkle hautfarbe,manos abiertas tono de piel oscuro,mains ouvertes peau foncée,両手のひら 濃い肌色,양손을 모아서 벌린 모양 검은색 피부,mãos abertas pele escura,mani aperte carnagione scura,دست های باز پوست آبنوسی,tangan terbuka warna kulit gelap,张开双手 较深肤色,ладони в стороны очень темный тон кожи,eller açık koyu cilt tonu,يدان مفتوحتان بشرة بلون غامق,يدان مفتوحتان بشرة بلون غامق,TRUE
2960,👐🏻,Uncategorized,open hands light skin tone,offene hände helle hautfarbe,manos abiertas tono de piel claro,mains ouvertes peau claire,両手のひら 薄い肌色,양손을 모아서 벌린 모양 하얀 피부,mãos abertas pele clara,mani aperte carnagione chiara,دست های باز پوست سفید,tangan terbuka warna kulit cerah,张开双手 较浅肤色,ладони в стороны очень светлый тон кожи,eller açık açık cilt tonu,يدان مفتوحتان بشرة بلون فاتح,يدان مفتوحتان بشرة بلون فاتح,TRUE
2961,👐🏾,Uncategorized,open hands medium-dark skin tone,offene hände mitteldunkle hautfarbe,manos abiertas tono de piel oscuro medio,mains ouvertes peau mate,両手のひら やや濃い肌色,양손을 모아서 벌린 모양 진한 갈색 피부,mãos abertas pele morena escura,mani aperte carnagione abbastanza scura,دست های باز پوست گندمی,tangan terbuka warna kulit gelap-sedang,张开双手 中等深肤色,ладони в стороны темный тон кожи,eller açık orta koyu cilt tonu,يدان مفتوحتان بشرة بلون معتدل مائل للغامق,يدان مفتوحتان بشرة بلون معتدل مائل للغامق,TRUE
2962,👐🏼,Uncategorized,open hands medium-light skin tone,offene hände mittelhelle hautfarbe,manos abiertas tono de piel claro medio,mains ouvertes peau moyennement claire,両手のひら やや薄い肌色,양손을 모아서 벌린 모양 연한 갈색 피부,mãos abertas pele morena clara,mani aperte carnagione abbastanza chiara,دست های باز پوست روشن,tangan terbuka warna kulit cerah-sedang,张开双手 中等浅肤色,ладони в стороны светлый тон кожи,eller açık orta açık cilt tonu,يدان مفتوحتان بشرة بلون فاتح ومعتدل,يدان مفتوحتان بشرة بلون فاتح ومعتدل,TRUE
2963,👐🏽,Uncategorized,open hands medium skin tone,offene hände mittlere hautfarbe,manos abiertas tono de piel medio,mains ouvertes peau légèrement mate,両手のひら 中間の肌色,양손을 모아서 벌린 모양 갈색 피부,mãos abertas pele morena,mani aperte carnagione olivastra,دست های باز پوست طلایی,tangan terbuka warna kulit sedang,张开双手 中等肤色,ладони в стороны средний тон кожи,eller açık orta cilt tonu,يدان مفتوحتان بشرة بلون معتدل,يدان مفتوحتان بشرة بلون معتدل,TRUE
2968,🟠,Uncategorized,orange circle,oranger punkt,círculo naranja,disque orange,オレンジの丸,오렌지색 원,círculo laranja,cerchio arancione,دایره نارنجی,lingkaran oranye,橙色圆,оранжевый круг,turuncu daire,دائرة برتقالية,دائرة برتقالية,FALSE
2969,🧡,Uncategorized,orange heart,oranges herz,corazón naranja,cœur orange,オレンジのハート,주황색 하트,coração laranja,cuore arancione,قلب نارنجی,hati oranye,橙心,оранжевое сердце,turuncu kalp,قلب برتقالي,قلب برتقالي,FALSE
2970,🟧,Uncategorized,orange square,oranges quadrat,cuadrado naranja,carré orange,オレンジの四角,오렌지색 사각형,quadrado laranja,quadrato arancione,مربع نارنجی,persegi oranye,橙色方块,оранжевый квадрат,turuncu kare,مربع برتقالي,مربع برتقالي,FALSE
