idx,description_eng,description_deu,description_spa,description_fra,description_jpn,description_kor,description_por,description_ita,description_fas,description_ind,description_zho,description_rus,description_tur,description_ary,description_arb
3208,old woman medium skin tone,ältere frau mittlere hautfarbe,anciana tono de piel medio,femme âgée peau légèrement mate,おばあさん 中間の肌色,할머니 갈색 피부,idosa pele morena,donna anziana carnagione olivastra,پیرزن پوست طلایی,wanita tua warna kulit sedang,老奶奶 中等肤色,пожилая женщина средний тон кожи,yaşlı kadın orta cilt tonu,سيدة عجوز بشرة بلون معتدل,سيدة عجوز بشرة بلون معتدل
3209,older person,ältere person,persona mayor,personne âgée,お年寄り,노인,idoso,persona anziana,میان سال,lanjut usia,老年人,пожилой человек,yaşlı yetişkin,بالغ أكبر في السن,بالغ أكبر في السن
3210,older person dark skin tone,ältere person dunkle hautfarbe,persona mayor tono de piel oscuro,personne âgée peau foncée,お年寄り 濃い肌色,노인 검은색 피부,idoso pele escura,persona anziana carnagione scura,میان سال پوست آبنوسی,lanjut usia warna kulit gelap,老年人 较深肤色,пожилой человек очень темный тон кожи,yaşlı yetişkin koyu cilt tonu,بالغ أكبر في السن بشرة بلون غامق,بالغ أكبر في السن بشرة بلون غامق
3211,older person light skin tone,ältere person helle hautfarbe,persona mayor tono de piel claro,personne âgée peau claire,お年寄り 薄い肌色,노인 하얀 피부,idoso pele clara,persona anziana carnagione chiara,میان سال پوست سفید,lanjut usia warna kulit cerah,老年人 较浅肤色,пожилой человек очень светлый тон кожи,yaşlı yetişkin açık cilt tonu,بالغ أكبر في السن بشرة بلون فاتح,بالغ أكبر في السن بشرة بلون فاتح
3212,older person medium-dark skin tone,ältere person mitteldunkle hautfarbe,persona mayor tono de piel oscuro medio,personne âgée peau mate,お年寄り やや濃い肌色,노인 진한 갈색 피부,idoso pele morena escura,persona anziana carnagione abbastanza scura,میان سال پوست گندمی,lanjut usia warna kulit gelap-sedang,老年人 中等深肤色,пожилой человек темный тон кожи,yaşlı yetişkin orta koyu cilt tonu,بالغ أكبر في السن بشرة بلون معتدل مائل للغامق,بالغ أكبر في السن بشرة بلون معتدل مائل للغامق
3213,older person medium-light skin tone,ältere person mittelhelle hautfarbe,persona mayor tono de piel claro medio,personne âgée peau moyennement claire,お年寄り やや薄い肌色,노인 연한 갈색 피부,idoso pele morena clara,persona anziana carnagione abbastanza chiara,میان سال پوست روشن,lanjut usia warna kulit cerah-sedang,老年人 中等浅肤色,пожилой человек светлый тон кожи,yaşlı yetişkin orta açık cilt tonu,بالغ أكبر في السن بشرة بلون فاتح ومعتدل,بالغ أكبر في السن بشرة بلون فاتح ومعتدل
3214,older person medium skin tone,ältere person mittlere hautfarbe,persona mayor tono de piel medio,personne âgée peau légèrement mate,お年寄り 中間の肌色,노인 갈색 피부,idoso pele morena,persona anziana carnagione olivastra,میان سال پوست طلایی,lanjut usia warna kulit sedang,老年人 中等肤色,пожилой человек средний тон кожи,yaşlı yetişkin orta cilt tonu,بالغ أكبر في السن بشرة بلون معتدل,بالغ أكبر في السن بشرة بلون معتدل
3215,olive,olive,aceituna,olive,オリーブ,올리브,azeitona,oliva,زیتون,zaitun,橄榄,оливка,zeytin,زيتون,زيتون
3217,om,om,om,om,オーム,옴,om,om,اُم,om,奥姆,ом,om,دين هندوسي,دين هندوسي
3218,oncoming fist dark skin tone,geballte faust dunkle hautfarbe,puño cerrado tono de piel oscuro,poing de face peau foncée,グー 濃い肌色,주먹 전면 검은색 피부,soco pele escura,pugno chiuso carnagione scura,مشت گره کرده پوست آبنوسی,tangan terkepal ke depan warna kulit gelap,出拳 较深肤色,кулак очень темный тон кожи,yaklaşan yumruk koyu cilt tonu,قبضة يد بشرة بلون غامق,قبضة يد بشرة بلون غامق
3219,oncoming fist light skin tone,geballte faust helle hautfarbe,puño cerrado tono de piel claro,poing de face peau claire,グー 薄い肌色,주먹 전면 하얀 피부,soco pele clara,pugno chiuso carnagione chiara,مشت گره کرده پوست سفید,tangan terkepal ke depan warna kulit cerah,出拳 较浅肤色,кулак очень светлый тон кожи,yaklaşan yumruk açık cilt tonu,قبضة يد بشرة بلون فاتح,قبضة يد بشرة بلون فاتح
3220,oncoming fist medium-dark skin tone,geballte faust mitteldunkle hautfarbe,puño cerrado tono de piel oscuro medio,poing de face peau mate,グー やや濃い肌色,주먹 전면 진한 갈색 피부,soco pele morena escura,pugno chiuso carnagione abbastanza scura,مشت گره کرده پوست گندمی,tangan terkepal ke depan warna kulit gelap-sedang,出拳 中等深肤色,кулак темный тон кожи,yaklaşan yumruk orta koyu cilt tonu,قبضة يد بشرة بلون معتدل مائل للغامق,قبضة يد بشرة بلون معتدل مائل للغامق
3221,oncoming fist medium-light skin tone,geballte faust mittelhelle hautfarbe,puño cerrado tono de piel claro medio,poing de face peau moyennement claire,グー やや薄い肌色,주먹 전면 연한 갈색 피부,soco pele morena clara,pugno chiuso carnagione abbastanza chiara,مشت گره کرده پوست روشن,tangan terkepal ke depan warna kulit cerah-sedang,出拳 中等浅肤色,кулак светлый тон кожи,yaklaşan yumruk orta açık cilt tonu,قبضة يد بشرة بلون فاتح ومعتدل,قبضة يد بشرة بلون فاتح ومعتدل
3222,oncoming fist medium skin tone,geballte faust mittlere hautfarbe,puño cerrado tono de piel medio,poing de face peau légèrement mate,グー 中間の肌色,주먹 전면 갈색 피부,soco pele morena,pugno chiuso carnagione olivastra,مشت گره کرده پوست طلایی,tangan terkepal ke depan warna kulit sedang,出拳 中等肤色,кулак средний тон кожи,yaklaşan yumruk orta cilt tonu,قبضة يد بشرة بلون معتدل,قبضة يد بشرة بلون معتدل
3223,one-piece swimsuit,einteiliger badeanzug,traje de baño de una pieza,maillot de bain une pièce,ワンピースの水着,원피스 수영복,maiô,costume da bagno intero,مایو یک تکه,pakaian renang one-piece,连体泳衣,цельный купальник,tek parça mayo,مايوه من قطعة واحدة,مايوه من قطعة واحدة
3224,open hands dark skin tone,offene hände dunkle hautfarbe,manos abiertas tono de piel oscuro,mains ouvertes peau foncée,両手のひら 濃い肌色,양손을 모아서 벌린 모양 검은색 피부,mãos abertas pele escura,mani aperte carnagione scura,دست های باز پوست آبنوسی,tangan terbuka warna kulit gelap,张开双手 较深肤色,ладони в стороны очень темный тон кожи,eller açık koyu cilt tonu,يدان مفتوحتان بشرة بلون غامق,يدان مفتوحتان بشرة بلون غامق
3225,open hands light skin tone,offene hände helle hautfarbe,manos abiertas tono de piel claro,mains ouvertes peau claire,両手のひら 薄い肌色,양손을 모아서 벌린 모양 하얀 피부,mãos abertas pele clara,mani aperte carnagione chiara,دست های باز پوست سفید,tangan terbuka warna kulit cerah,张开双手 较浅肤色,ладони в стороны очень светлый тон кожи,eller açık açık cilt tonu,يدان مفتوحتان بشرة بلون فاتح,يدان مفتوحتان بشرة بلون فاتح
3226,open hands medium-dark skin tone,offene hände mitteldunkle hautfarbe,manos abiertas tono de piel oscuro medio,mains ouvertes peau mate,両手のひら やや濃い肌色,양손을 모아서 벌린 모양 진한 갈색 피부,mãos abertas pele morena escura,mani aperte carnagione abbastanza scura,دست های باز پوست گندمی,tangan terbuka warna kulit gelap-sedang,张开双手 中等深肤色,ладони в стороны темный тон кожи,eller açık orta koyu cilt tonu,يدان مفتوحتان بشرة بلون معتدل مائل للغامق,يدان مفتوحتان بشرة بلون معتدل مائل للغامق
3227,open hands medium-light skin tone,offene hände mittelhelle hautfarbe,manos abiertas tono de piel claro medio,mains ouvertes peau moyennement claire,両手のひら やや薄い肌色,양손을 모아서 벌린 모양 연한 갈색 피부,mãos abertas pele morena clara,mani aperte carnagione abbastanza chiara,دست های باز پوست روشن,tangan terbuka warna kulit cerah-sedang,张开双手 中等浅肤色,ладони в стороны светлый тон кожи,eller açık orta açık cilt tonu,يدان مفتوحتان بشرة بلون فاتح ومعتدل,يدان مفتوحتان بشرة بلون فاتح ومعتدل
3228,open hands medium skin tone,offene hände mittlere hautfarbe,manos abiertas tono de piel medio,mains ouvertes peau légèrement mate,両手のひら 中間の肌色,양손을 모아서 벌린 모양 갈색 피부,mãos abertas pele morena,mani aperte carnagione olivastra,دست های باز پوست طلایی,tangan terbuka warna kulit sedang,张开双手 中等肤色,ладони в стороны средний тон кожи,eller açık orta cilt tonu,يدان مفتوحتان بشرة بلون معتدل,يدان مفتوحتان بشرة بلون معتدل
3229,orange circle,oranger punkt,círculo naranja,disque orange,オレンジの丸,오렌지색 원,círculo laranja,cerchio arancione,دایره نارنجی,lingkaran oranye,橙色圆,оранжевый круг,turuncu daire,دائرة برتقالية,دائرة برتقالية
3230,orange heart,oranges herz,corazón naranja,cœur orange,オレンジのハート,주황색 하트,coração laranja,cuore arancione,قلب نارنجی,hati oranye,橙心,оранжевое сердце,turuncu kalp,قلب برتقالي,قلب برتقالي
3231,orange square,oranges quadrat,cuadrado naranja,carré orange,オレンジの四角,오렌지색 사각형,quadrado laranja,quadrato arancione,مربع نارنجی,persegi oranye,橙色方块,оранжевый квадрат,turuncu kare,مربع برتقالي,مربع برتقالي
3233,orthodox cross,orthodoxes kreuz,cruz ortodoxa,croix orthodoxe,八端十字架,전통적인 십자가,cruz ortodoxa,croce ortodossa,صلیب ارتدوکسی,salib ortodoks,东正教十字架,православный крест,ortodoks haçı,صليب أرثوزوكس,صليب أرثوزوكس
3234,paintbrush,pinsel,pincel,pinceau,絵筆,붓,pincel,pennello,قلم مو,kuas,画笔,кисточка,boya fırçası,فرشاة ألوان,فرشاة ألوان
3235,palm down hand dark skin tone,hand mit handfläche nach unten dunkle hautfarbe,mano con la palma hacia abajo tono de piel oscuro,main paume vers le bas peau foncée,下に向けた手 濃い肌色,손바닥을 아래로 향한 손 검은색 피부,mão com a palma para baixo pele escura,mano con il palmo verso il basso carnagione scura,کف دست به پایین پوست آبنوسی,telapak tangan menghadap ke bawah warna kulit gelap,掌心向下的手 较深肤色,рука ладонью вниз очень темный тон кожи,avuç içi aşağı bakan el koyu cilt tonu,راحة يد للأسفل بشرة بلون غامق,راحة يد للأسفل بشرة بلون غامق
3236,palm down hand light skin tone,hand mit handfläche nach unten helle hautfarbe,mano con la palma hacia abajo tono de piel claro,main paume vers le bas peau claire,下に向けた手 薄い肌色,손바닥을 아래로 향한 손 하얀 피부,mão com a palma para baixo pele clara,mano con il palmo verso il basso carnagione chiara,کف دست به پایین پوست سفید,telapak tangan menghadap ke bawah warna kulit cerah,掌心向下的手 较浅肤色,рука ладонью вниз очень светлый тон кожи,avuç içi aşağı bakan el açık cilt tonu,راحة يد للأسفل بشرة بلون فاتح,راحة يد للأسفل بشرة بلون فاتح
3237,palm down hand medium-dark skin tone,hand mit handfläche nach unten mitteldunkle hautfarbe,mano con la palma hacia abajo tono de piel oscuro medio,main paume vers le bas peau mate,下に向けた手 やや濃い肌色,손바닥을 아래로 향한 손 진한 갈색 피부,mão com a palma para baixo pele morena escura,mano con il palmo verso il basso carnagione abbastanza scura,کف دست به پایین پوست گندمی,telapak tangan menghadap ke bawah warna kulit gelap-sedang,掌心向下的手 中等深肤色,рука ладонью вниз темный тон кожи,avuç içi aşağı bakan el orta koyu cilt tonu,راحة يد للأسفل بشرة بلون معتدل مائل للغامق,راحة يد للأسفل بشرة بلون معتدل مائل للغامق
3238,palm down hand medium-light skin tone,hand mit handfläche nach unten mittelhelle hautfarbe,mano con la palma hacia abajo tono de piel claro medio,main paume vers le bas peau moyennement claire,下に向けた手 やや薄い肌色,손바닥을 아래로 향한 손 연한 갈색 피부,mão com a palma para baixo pele morena clara,mano con il palmo verso il basso carnagione abbastanza chiara,کف دست به پایین پوست روشن,telapak tangan menghadap ke bawah warna kulit cerah-sedang,掌心向下的手 中等浅肤色,рука ладонью вниз светлый тон кожи,avuç içi aşağı bakan el orta açık cilt tonu,راحة يد للأسفل بشرة بلون فاتح ومعتدل,راحة يد للأسفل بشرة بلون فاتح ومعتدل
3239,palm down hand medium skin tone,hand mit handfläche nach unten mittlere hautfarbe,mano con la palma hacia abajo tono de piel medio,main paume vers le bas peau légèrement mate,下に向けた手 中間の肌色,손바닥을 아래로 향한 손 갈색 피부,mão com a palma para baixo pele morena,mano con il palmo verso il basso carnagione olivastra,کف دست به پایین پوست طلایی,telapak tangan menghadap ke bawah warna kulit sedang,掌心向下的手 中等肤色,рука ладонью вниз средний тон кожи,avuç içi aşağı bakan el orta cilt tonu,راحة يد للأسفل بشرة بلون معتدل,راحة يد للأسفل بشرة بلون معتدل
3240,palm tree,palme,palmera,palmier,ヤシの木,야자수,palmeira,palma,نخل,pohon palem,棕榈树,пальма,palmiye ağacı,نخلة,نخلة
3241,palm up hand dark skin tone,hand mit handfläche nach oben dunkle hautfarbe,mano con la palma hacia arriba tono de piel oscuro,main paume vers le haut peau foncée,上に向けた手 濃い肌色,손바닥을 위로 향한 손 검은색 피부,mão com a palma para cima pele escura,mano con il palmo verso l’alto carnagione scura,کف دست به بالا پوست آبنوسی,telapak tangan menghadap ke atas warna kulit gelap,掌心向上的手 较深肤色,рука ладонью вверх очень темный тон кожи,avuç içi yukarı bakan el koyu cilt tonu,راحة يد للأعلى بشرة بلون غامق,راحة يد للأعلى بشرة بلون غامق
3242,palm up hand light skin tone,hand mit handfläche nach oben helle hautfarbe,mano con la palma hacia arriba tono de piel claro,main paume vers le haut peau claire,上に向けた手 薄い肌色,손바닥을 위로 향한 손 하얀 피부,mão com a palma para cima pele clara,mano con il palmo verso l’alto carnagione chiara,کف دست به بالا پوست سفید,telapak tangan menghadap ke atas warna kulit cerah,掌心向上的手 较浅肤色,рука ладонью вверх очень светлый тон кожи,avuç içi yukarı bakan el açık cilt tonu,راحة يد للأعلى بشرة بلون فاتح,راحة يد للأعلى بشرة بلون فاتح
3243,palm up hand medium-dark skin tone,hand mit handfläche nach oben mitteldunkle hautfarbe,mano con la palma hacia arriba tono de piel oscuro medio,main paume vers le haut peau mate,上に向けた手 やや濃い肌色,손바닥을 위로 향한 손 진한 갈색 피부,mão com a palma para cima pele morena escura,mano con il palmo verso l’alto carnagione abbastanza scura,کف دست به بالا پوست گندمی,telapak tangan menghadap ke atas warna kulit gelap-sedang,掌心向上的手 中等深肤色,рука ладонью вверх темный тон кожи,avuç içi yukarı bakan el orta koyu cilt tonu,راحة يد للأعلى بشرة بلون معتدل مائل للغامق,راحة يد للأعلى بشرة بلون معتدل مائل للغامق
3244,palm up hand medium-light skin tone,hand mit handfläche nach oben mittelhelle hautfarbe,mano con la palma hacia arriba tono de piel claro medio,main paume vers le haut peau moyennement claire,上に向けた手 やや薄い肌色,손바닥을 위로 향한 손 연한 갈색 피부,mão com a palma para cima pele morena clara,mano con il palmo verso l’alto carnagione abbastanza chiara,کف دست به بالا پوست روشن,telapak tangan menghadap ke atas warna kulit cerah-sedang,掌心向上的手 中等浅肤色,рука ладонью вверх светлый тон кожи,avuç içi yukarı bakan el orta açık cilt tonu,راحة يد للأعلى بشرة بلون فاتح ومعتدل,راحة يد للأعلى بشرة بلون فاتح ومعتدل
3245,palm up hand medium skin tone,hand mit handfläche nach oben mittlere hautfarbe,mano con la palma hacia arriba tono de piel medio,main paume vers le haut peau légèrement mate,上に向けた手 中間の肌色,손바닥을 위로 향한 손 갈색 피부,mão com a palma para cima pele morena,mano con il palmo verso l’alto carnagione olivastra,کف دست به بالا پوست طلایی,telapak tangan menghadap ke atas warna kulit sedang,掌心向上的手 中等肤色,рука ладонью вверх средний тон кожи,avuç içi yukarı bakan el orta cilt tonu,راحة يد للأعلى بشرة بلون معتدل,راحة يد للأعلى بشرة بلون معتدل
3246,palms up together dark skin tone,handflächen nach oben dunkle hautfarbe,palmas hacia arriba juntas tono de piel oscuro,paume contre paume doigts vers le haut peau foncée,手のひらを揃えた両手 濃い肌色,내민 두 손 검은색 피부,palmas unidas para cima pele escura,mani unite in alto carnagione scura,دست دعا پوست آبنوسی,tangan diangkat dan dirapatkan bersama warna kulit gelap,掌心向上托起 较深肤色,ладони лодочкой очень темный тон кожи,iki avuç açık koyu cilt tonu,راحتان مفتوحتان بشرة بلون غامق,راحتان مفتوحتان بشرة بلون غامق
3247,palms up together light skin tone,handflächen nach oben helle hautfarbe,palmas hacia arriba juntas tono de piel claro,paume contre paume doigts vers le haut peau claire,手のひらを揃えた両手 薄い肌色,내민 두 손 하얀 피부,palmas unidas para cima pele clara,mani unite in alto carnagione chiara,دست دعا پوست سفید,tangan diangkat dan dirapatkan bersama warna kulit cerah,掌心向上托起 较浅肤色,ладони лодочкой очень светлый тон кожи,iki avuç açık açık cilt tonu,راحتان مفتوحتان بشرة بلون فاتح,راحتان مفتوحتان بشرة بلون فاتح
3248,palms up together medium-dark skin tone,handflächen nach oben mitteldunkle hautfarbe,palmas hacia arriba juntas tono de piel oscuro medio,paume contre paume doigts vers le haut peau mate,手のひらを揃えた両手 やや濃い肌色,내민 두 손 진한 갈색 피부,palmas unidas para cima pele morena escura,mani unite in alto carnagione abbastanza scura,دست دعا پوست گندمی,tangan diangkat dan dirapatkan bersama warna kulit gelap-sedang,掌心向上托起 中等深肤色,ладони лодочкой темный тон кожи,iki avuç açık orta koyu cilt tonu,راحتان مفتوحتان بشرة بلون معتدل مائل للغامق,راحتان مفتوحتان بشرة بلون معتدل مائل للغامق
3249,palms up together medium-light skin tone,handflächen nach oben mittelhelle hautfarbe,palmas hacia arriba juntas tono de piel claro medio,paume contre paume doigts vers le haut peau moyennement claire,手のひらを揃えた両手 やや薄い肌色,내민 두 손 연한 갈색 피부,palmas unidas para cima pele morena clara,mani unite in alto carnagione abbastanza chiara,دست دعا پوست روشن,tangan diangkat dan dirapatkan bersama warna kulit cerah-sedang,掌心向上托起 中等浅肤色,ладони лодочкой светлый тон кожи,iki avuç açık orta açık cilt tonu,راحتان مفتوحتان بشرة بلون فاتح ومعتدل,راحتان مفتوحتان بشرة بلون فاتح ومعتدل
3250,palms up together medium skin tone,handflächen nach oben mittlere hautfarbe,palmas hacia arriba juntas tono de piel medio,paume contre paume doigts vers le haut peau légèrement mate,手のひらを揃えた両手 中間の肌色,내민 두 손 갈색 피부,palmas unidas para cima pele morena,mani unite in alto carnagione olivastra,دست دعا پوست طلایی,tangan diangkat dan dirapatkan bersama warna kulit sedang,掌心向上托起 中等肤色,ладони лодочкой средний тон кожи,iki avuç açık orta cilt tonu,راحتان مفتوحتان بشرة بلون معتدل,راحتان مفتوحتان بشرة بلون معتدل
3252,part alternation mark,teilalternationszeichen,marca de alternancia,alternance,いおりてん,부분 교체 기호,sinal japonês indicando início de música,simbolo di alternanza delle parti,علامت تناوب بخش,tanda alternasi bagian,庵点,вступает другой голос,parça değiştirme işareti,بديل,بديل
3253,passenger ship,passagierschiff,barco de pasajeros,paquebot,客船,여객선,cruzeiro,nave da crociera,کشتی مسافربری,kapal penumpang,客轮,пассажирский лайнер,yolcu gemisi,سفينة ركاب,سفينة ركاب
3254,passport control,passkontrolle,control de pasaportes,contrôle des passeports,出入国審査,출입국 심사,controle de passaportes,simbolo del controllo passaporti,کنترل گذرنامه,kontrol paspor,护照检查,паспортный контроль,pasaport kontrolü,مراقبة جوازات السفر,مراقبة جوازات السفر
3256,pause button,pause,pausa,bouton pause,一時停止ボタン,일시 정지 버튼,botão pausar,pulsante pausa,دکمهٔ مکث,tombol jeda,暂停按钮,пауза,duraklatma düğmesi,زر إيقاف مؤقت,زر إيقاف مؤقت
3259,peace symbol,friedenszeichen,símbolo de la paz,symbole de paix,ピースマーク,평화 기호,símbolo da paz,simbolo della pace,نماد صلح,simbol damai,和平符号,пацифик,barış sembolü,رمز سلام,رمز سلام
3260,pen,kugelschreiber,bolígrafo,stylo,ペン,펜,caneta,penna a sfera,خودکار,pena,笔,шариковая ручка,kalem,قلم,قلم
3261,pencil,bleistift,lápiz,crayon,鉛筆,연필,lápis,matita,مداد,pensil,铅笔,карандаш,kurşun kalem,قلم رصاص,قلم رصاص
3262,people holding hands,sich an den händen haltende personen,dos personas de la mano,deux personnes se tenant la main,手をつなぐ2人,손을 잡고 있는 두 명의 사람,pessoas de mãos dadas,persone che si tengono per mano,اشخاصی دست در دست هم,orang bergandengan,手拉手的两个人,люди держащиеся за руки,el ele tutuşan insanlar,أشخاص يمسكون بأيدي بعضهم,أشخاص يمسكون بأيدي بعضهم
3263,people holding hands dark skin tone,sich an den händen haltende personen dunkle hautfarbe,dos personas de la mano tono de piel oscuro,deux personnes se tenant la main peau foncée,手をつなぐ2人 濃い肌色,손을 잡고 있는 두 명의 사람 검은색 피부,pessoas de mãos dadas pele escura,persone che si tengono per mano carnagione scura,اشخاصی دست در دست هم پوست آبنوسی,orang bergandengan warna kulit gelap,手拉手的两个人 较深肤色,люди держащиеся за руки очень темный тон кожи,el ele tutuşan insanlar koyu cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق
3264,people holding hands dark skin tone light skin tone,sich an den händen haltende personen dunkle hautfarbe helle hautfarbe,dos personas de la mano tono de piel oscuro y tono de piel claro,deux personnes se tenant la main peau foncée et peau claire,手をつなぐ2人 濃い肌色 薄い肌色,손을 잡고 있는 두 명의 사람 검은색 피부 하얀 피부,pessoas de mãos dadas pele escura e pele clara,persone che si tengono per mano carnagione scura e carnagione chiara,اشخاصی دست در دست هم پوست آبنوسی پوست سفید,orang bergandengan warna kulit gelap warna kulit cerah,手拉手的两个人 较深肤色较浅肤色,люди держащиеся за руки очень темный тон кожи очень светлый тон кожи,el ele tutuşan insanlar koyu cilt tonu açık cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون فاتح,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون فاتح
3265,people holding hands dark skin tone medium-dark skin tone,sich an den händen haltende personen dunkle hautfarbe mitteldunkle hautfarbe,dos personas de la mano tono de piel oscuro y tono de piel oscuro medio,deux personnes se tenant la main peau foncée et peau mate,手をつなぐ2人 濃い肌色 やや濃い肌色,손을 잡고 있는 두 명의 사람 검은색 피부 진한 갈색 피부,pessoas de mãos dadas pele escura e pele morena escura,persone che si tengono per mano carnagione scura e carnagione abbastanza scura,اشخاصی دست در دست هم پوست آبنوسی پوست گندمی,orang bergandengan warna kulit gelap warna kulit gelap-sedang,手拉手的两个人 较深肤色中等深肤色,люди держащиеся за руки очень темный тон кожи темный тон кожи,el ele tutuşan insanlar koyu cilt tonu orta koyu cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون معتدل مائل للغامق,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون معتدل مائل للغامق
3266,people holding hands dark skin tone medium-light skin tone,sich an den händen haltende personen dunkle hautfarbe mittelhelle hautfarbe,dos personas de la mano tono de piel oscuro y tono de piel claro medio,deux personnes se tenant la main peau foncée et peau moyennement claire,手をつなぐ2人 濃い肌色 やや薄い肌色,손을 잡고 있는 두 명의 사람 검은색 피부 연한 갈색 피부,pessoas de mãos dadas pele escura e pele morena clara,persone che si tengono per mano carnagione scura e carnagione abbastanza chiara,اشخاصی دست در دست هم پوست آبنوسی پوست روشن,orang bergandengan warna kulit gelap warna kulit cerah-sedang,手拉手的两个人 较深肤色中等浅肤色,люди держащиеся за руки очень темный тон кожи светлый тон кожи,el ele tutuşan insanlar koyu cilt tonu orta açık cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون فاتح ومعتدل,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون فاتح ومعتدل
3267,people holding hands dark skin tone medium skin tone,sich an den händen haltende personen dunkle hautfarbe mittlere hautfarbe,dos personas de la mano tono de piel oscuro y tono de piel medio,deux personnes se tenant la main peau foncée et peau légèrement mate,手をつなぐ2人 濃い肌色 中間の肌色,손을 잡고 있는 두 명의 사람 검은색 피부 갈색 피부,pessoas de mãos dadas pele escura e pele morena,persone che si tengono per mano carnagione scura e carnagione olivastra,اشخاصی دست در دست هم پوست آبنوسی پوست طلایی,orang bergandengan warna kulit gelap warna kulit sedang,手拉手的两个人 较深肤色中等肤色,люди держащиеся за руки очень темный тон кожи средний тон кожи,el ele tutuşan insanlar koyu cilt tonu orta cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون معتدل,أشخاص يمسكون بأيدي بعضهم بشرة بلون غامق وبشرة بلون معتدل
3268,people holding hands light skin tone,sich an den händen haltende personen helle hautfarbe,dos personas de la mano tono de piel claro,deux personnes se tenant la main peau claire,手をつなぐ2人 薄い肌色,손을 잡고 있는 두 명의 사람 하얀 피부,pessoas de mãos dadas pele clara,persone che si tengono per mano carnagione chiara,اشخاصی دست در دست هم پوست سفید,orang bergandengan warna kulit cerah,手拉手的两个人 较浅肤色,люди держащиеся за руки очень светлый тон кожи,el ele tutuşan insanlar açık cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح
3269,people holding hands light skin tone dark skin tone,sich an den händen haltende personen helle hautfarbe dunkle hautfarbe,dos personas de la mano tono de piel claro y tono de piel oscuro,deux personnes se tenant la main peau claire et peau foncée,手をつなぐ2人 薄い肌色 濃い肌色,손을 잡고 있는 두 명의 사람 하얀 피부 검은색 피부,pessoas de mãos dadas pele clara e pele escura,persone che si tengono per mano carnagione chiara e carnagione scura,اشخاصی دست در دست هم پوست سفید پوست آبنوسی,orang bergandengan warna kulit cerah warna kulit gelap,手拉手的两个人 较浅肤色较深肤色,люди держащиеся за руки очень светлый тон кожи очень темный тон кожи,el ele tutuşan insanlar açık cilt tonu koyu cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح وبشرة بلون غامق,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح وبشرة بلون غامق
3270,people holding hands light skin tone medium-dark skin tone,sich an den händen haltende personen helle hautfarbe mitteldunkle hautfarbe,dos personas de la mano tono de piel claro y tono de piel oscuro medio,deux personnes se tenant la main peau claire et peau mate,手をつなぐ2人 薄い肌色 やや濃い肌色,손을 잡고 있는 두 명의 사람 하얀 피부 진한 갈색 피부,pessoas de mãos dadas pele clara e pele morena escura,persone che si tengono per mano carnagione chiara e carnagione abbastanza scura,اشخاصی دست در دست هم پوست سفید پوست گندمی,orang bergandengan warna kulit cerah warna kulit gelap-sedang,手拉手的两个人 较浅肤色中等深肤色,люди держащиеся за руки очень светлый тон кожи темный тон кожи,el ele tutuşan insanlar açık cilt tonu orta koyu cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح وبشرة بلون معتدل مائل للغامق,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح وبشرة بلون معتدل مائل للغامق
3271,people holding hands light skin tone medium-light skin tone,sich an den händen haltende personen helle hautfarbe mittelhelle hautfarbe,dos personas de la mano tono de piel claro y tono de piel claro medio,deux personnes se tenant la main peau claire et peau moyennement claire,手をつなぐ2人 薄い肌色 やや薄い肌色,손을 잡고 있는 두 명의 사람 하얀 피부 연한 갈색 피부,pessoas de mãos dadas pele clara e pele morena clara,persone che si tengono per mano carnagione chiara e carnagione abbastanza chiara,اشخاصی دست در دست هم پوست سفید پوست روشن,orang bergandengan warna kulit cerah warna kulit cerah-sedang,手拉手的两个人 较浅肤色中等浅肤色,люди держащиеся за руки очень светлый тон кожи светлый тон кожи,el ele tutuşan insanlar açık cilt tonu orta açık cilt tonu,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح وبشرة بلون فاتح ومعتدل,أشخاص يمسكون بأيدي بعضهم بشرة بلون فاتح وبشرة بلون فاتح ومعتدل
